,Territorio,ETA1,Value
1593,Umbria,Y72,10765
1594,Marche,Y72,17589
1595,Lazio,Y72,65262
1596,Piemonte,Y72,55359
1597,Valle d'Aosta / Vallée d'Aoste,Y72,1481
1598,Abruzzo,Y72,15403
1599,Molise,Y72,3708
1600,Campania,Y72,58376
1601,Puglia,Y72,46130
1602,Basilicata,Y72,6282
1603,Calabria,Y72,21708
1604,Sicilia,Y72,56284
1605,Sardegna,Y72,19302
1606,Piemonte,Y73,53609
1607,Valle d'Aosta / Vallée d'Aoste,Y73,1408
1608,Liguria,Y73,21477
1609,Lombardia,Y73,115962
1610,Trentino Alto Adige / Südtirol,Y73,11443
1611,Provincia Autonoma Bolzano / Bozen,Y73,5228
1612,Provincia Autonoma Trento,Y73,6215
1613,Veneto,Y73,59502
1614,Friuli-Venezia Giulia,Y73,16760
1615,Emilia-Romagna,Y73,53910
1616,Toscana,Y73,48276
1617,Umbria,Y73,10288
1618,Marche,Y73,17545
1619,Lazio,Y73,62964
1620,Abruzzo,Y73,14841
1621,Molise,Y73,3408
1622,Campania,Y73,58268
1623,Puglia,Y73,45048
1624,Basilicata,Y73,5680
1625,Calabria,Y73,19731
1626,Sicilia,Y73,51046
1627,Sardegna,Y73,17913
1628,Piemonte,Y74,40698
1629,Valle d'Aosta / Vallée d'Aoste,Y74,1082
1630,Liguria,Y74,15458
1631,Lombardia,Y74,84776
1632,Trentino Alto Adige / Südtirol,Y74,8139
1633,Provincia Autonoma Bolzano / Bozen,Y74,3818
1634,Provincia Autonoma Trento,Y74,4321
1635,Veneto,Y74,40425
1636,Friuli-Venezia Giulia,Y74,11362
1637,Emilia-Romagna,Y74,37788
1638,Toscana,Y74,37174
1639,Umbria,Y74,8207
1640,Marche,Y74,14410
1641,Lazio,Y74,48744
1642,Abruzzo,Y74,11066
1643,Molise,Y74,2641
1644,Campania,Y74,46997
1645,Puglia,Y74,37758
1646,Basilicata,Y74,4399
1647,Calabria,Y74,15234
1648,Sicilia,Y74,42761
1649,Sardegna,Y74,16626
1650,Piemonte,Y75,43227
1651,Valle d'Aosta / Vallée d'Aoste,Y75,1148
1652,Liguria,Y75,17305
1653,Lombardia,Y75,89829
1654,Trentino Alto Adige / Südtirol,Y75,9262
1655,Provincia Autonoma Bolzano / Bozen,Y75,4477
1656,Provincia Autonoma Trento,Y75,4785
1657,Veneto,Y75,46259
1658,Friuli-Venezia Giulia,Y75,13440
1659,Emilia-Romagna,Y75,41845
1660,Toscana,Y75,36787
1661,Umbria,Y75,8656
1662,Marche,Y75,13831
1663,Lazio,Y75,48387
1664,Abruzzo,Y75,11792
1665,Molise,Y75,2571
1666,Campania,Y75,39694
1667,Puglia,Y75,33739
1668,Basilicata,Y75,4319
1669,Calabria,Y75,15125
1670,Sicilia,Y75,40547
1671,Sardegna,Y75,16120
1672,Piemonte,Y76,42568
1673,Valle d'Aosta / Vallée d'Aoste,Y76,1202
1674,Liguria,Y76,16708
1675,Lombardia,Y76,87799
1676,Trentino Alto Adige / Südtirol,Y76,9710
1677,Provincia Autonoma Bolzano / Bozen,Y76,4815
1678,Provincia Autonoma Trento,Y76,4895
1679,Veneto,Y76,46642
1680,Friuli-Venezia Giulia,Y76,13071
1681,Emilia-Romagna,Y76,41123
1682,Toscana,Y76,36527
1683,Umbria,Y76,8979
1684,Marche,Y76,14424
1685,Lazio,Y76,50014
1686,Abruzzo,Y76,11286
1687,Molise,Y76,2395
1688,Campania,Y76,42313
1689,Puglia,Y76,33283
1690,Basilicata,Y76,4245
1691,Calabria,Y76,14777
1692,Sicilia,Y76,38149
1693,Sardegna,Y76,15409
1694,Piemonte,Y77,42562
1695,Valle d'Aosta / Vallée d'Aoste,Y77,1186
1696,Lombardia,Y77,88391
1697,Trentino Alto Adige / Südtirol,Y77,9491
1698,Veneto,Y77,44644
1699,Sardegna,Y77,15587
1700,Liguria,Y77,16967
1701,Provincia Autonoma Bolzano / Bozen,Y77,4692
1702,Provincia Autonoma Trento,Y77,4799
1703,Friuli-Venezia Giulia,Y77,13001
1704,Emilia-Romagna,Y77,39912
1705,Toscana,Y77,34616
1706,Umbria,Y77,8195
1707,Marche,Y77,13535
1708,Lazio,Y77,47928
1709,Abruzzo,Y77,10827
1710,Molise,Y77,2297
1711,Campania,Y77,39699
1712,Puglia,Y77,33583
1713,Basilicata,Y77,4181
1714,Calabria,Y77,14505
1715,Sicilia,Y77,37239
1716,Piemonte,Y78,42430
1717,Valle d'Aosta / Vallée d'Aoste,Y78,1183
1718,Liguria,Y78,17282
1719,Lombardia,Y78,88964
1720,Trentino Alto Adige / Südtirol,Y78,9344
1721,Provincia Autonoma Bolzano / Bozen,Y78,4671
1722,Provincia Autonoma Trento,Y78,4673
1723,Veneto,Y78,43629
1724,Friuli-Venezia Giulia,Y78,12960
1725,Emilia-Romagna,Y78,40284
1726,Toscana,Y78,35234
1727,Umbria,Y78,8199
1728,Marche,Y78,13414
1729,Lazio,Y78,47634
1730,Abruzzo,Y78,10736
1731,Molise,Y78,2523
1732,Campania,Y78,37467
1733,Puglia,Y78,31336
1734,Basilicata,Y78,4124
1735,Calabria,Y78,13777
1736,Sicilia,Y78,36582
1737,Sardegna,Y78,14214
1738,Piemonte,Y79,45638
1739,Valle d'Aosta / Vallée d'Aoste,Y79,1222
1740,Liguria,Y79,18345
1741,Lombardia,Y79,94898
1742,Trentino Alto Adige / Südtirol,Y79,8839
1743,Provincia Autonoma Bolzano / Bozen,Y79,4157
1744,Provincia Autonoma Trento,Y79,4682
1745,Veneto,Y79,45225
1746,Friuli-Venezia Giulia,Y79,13401
1747,Emilia-Romagna,Y79,43271
1748,Toscana,Y79,38750
1749,Umbria,Y79,8997
1750,Marche,Y79,15032
1751,Lazio,Y79,51316
1752,Abruzzo,Y79,12039
1753,Molise,Y79,2813
1754,Campania,Y79,40230
1755,Puglia,Y79,33360
1756,Basilicata,Y79,4776
1757,Calabria,Y79,15508
1758,Sicilia,Y79,40753
1759,Sardegna,Y79,15431
1760,Toscana,Y80,36741
1761,Umbria,Y80,8659
1762,Marche,Y80,15066
1763,Lazio,Y80,48404
1764,Abruzzo,Y80,11902
1765,Molise,Y80,2933
1766,Campania,Y80,38307
1767,Puglia,Y80,32234
1768,Basilicata,Y80,4871
1769,Calabria,Y80,14773
1770,Sicilia,Y80,38195
1771,Sardegna,Y80,14178
1772,Piemonte,Y80,44405
1773,Valle d'Aosta / Vallée d'Aoste,Y80,1114
1774,Liguria,Y80,17679
1775,Lombardia,Y80,90760
1776,Trentino Alto Adige / Südtirol,Y80,8367
1777,Provincia Autonoma Bolzano / Bozen,Y80,4061
1778,Provincia Autonoma Trento,Y80,4306
1779,Veneto,Y80,43265
1780,Friuli-Venezia Giulia,Y80,12443
1781,Emilia-Romagna,Y80,41788
1782,Piemonte,Y81,42233
1783,Valle d'Aosta / Vallée d'Aoste,Y81,1118
1784,Liguria,Y81,16903
1785,Lombardia,Y81,85531
1786,Trentino Alto Adige / Südtirol,Y81,7688
1787,Provincia Autonoma Bolzano / Bozen,Y81,3621
1788,Provincia Autonoma Trento,Y81,4067
1789,Veneto,Y81,40421
1790,Friuli-Venezia Giulia,Y81,11654
1791,Emilia-Romagna,Y81,40600
1792,Toscana,Y81,35999
1793,Umbria,Y81,8619
1794,Marche,Y81,14764
1795,Lazio,Y81,45267
1796,Abruzzo,Y81,10598
1797,Molise,Y81,2442
1798,Campania,Y81,34281
1799,Puglia,Y81,29672
1800,Basilicata,Y81,4548
1801,Calabria,Y81,13634
1802,Sicilia,Y81,35414
1803,Sardegna,Y81,12485
1804,Piemonte,Y82,37401
1805,Valle d'Aosta / Vallée d'Aoste,Y82,975
1806,Liguria,Y82,15244
1807,Lombardia,Y82,74385
1808,Trentino Alto Adige / Südtirol,Y82,6778
1809,Provincia Autonoma Bolzano / Bozen,Y82,3203
1810,Provincia Autonoma Trento,Y82,3575
1811,Veneto,Y82,35609
1812,Friuli-Venezia Giulia,Y82,10352
1813,Emilia-Romagna,Y82,35471
1814,Toscana,Y82,31568
1815,Umbria,Y82,7443
1816,Marche,Y82,12923
1817,Lazio,Y82,40468
1818,Abruzzo,Y82,10210
1819,Molise,Y82,2406
1820,Puglia,Y82,27231
1821,Basilicata,Y82,4415
1822,Calabria,Y82,12649
1823,Sicilia,Y82,30774
1824,Sardegna,Y82,11308
1825,Campania,Y82,31460
1826,Valle d'Aosta / Vallée d'Aoste,Y83,851
1827,Lombardia,Y83,65275
1828,Piemonte,Y83,33293
1829,Veneto,Y83,31710
1830,Lazio,Y83,36413
1831,Liguria,Y83,13592
1832,Marche,Y83,11521
1833,Trentino Alto Adige / Südtirol,Y83,6169
1834,Provincia Autonoma Bolzano / Bozen,Y83,2913
1835,Provincia Autonoma Trento,Y83,3256
1836,Friuli-Venezia Giulia,Y83,9160
1837,Emilia-Romagna,Y83,31284
1838,Toscana,Y83,27807
1839,Umbria,Y83,6652
1840,Abruzzo,Y83,9233
1841,Molise,Y83,2351
1842,Campania,Y83,27907
1843,Puglia,Y83,24259
1844,Basilicata,Y83,4049
1845,Calabria,Y83,11992
1846,Sicilia,Y83,28799
1847,Sardegna,Y83,10617
1848,Campania,Y84,26861
1849,Piemonte,Y84,32107
1850,Valle d'Aosta / Vallée d'Aoste,Y84,764
1851,Liguria,Y84,12881
1852,Lombardia,Y84,63704
1853,Trentino Alto Adige / Südtirol,Y84,5847
1854,Provincia Autonoma Bolzano / Bozen,Y84,2666
1855,Provincia Autonoma Trento,Y84,3181
1856,Veneto,Y84,30724
1857,Friuli-Venezia Giulia,Y84,8556
1858,Emilia-Romagna,Y84,31628
1859,Toscana,Y84,27321
1860,Marche,Y84,11486
1861,Lazio,Y84,34924
1862,Abruzzo,Y84,8885
1863,Molise,Y84,2230
1864,Puglia,Y84,23256
1865,Basilicata,Y84,3774
1866,Calabria,Y84,11467
1867,Sicilia,Y84,27341
1868,Sardegna,Y84,9341
1869,Umbria,Y84,6480
1870,Piemonte,Y85,28730
1871,Valle d'Aosta / Vallée d'Aoste,Y85,682
1872,Liguria,Y85,11630
1873,Lombardia,Y85,56653
1874,Trentino Alto Adige / Südtirol,Y85,5422
1875,Provincia Autonoma Bolzano / Bozen,Y85,2556
1876,Provincia Autonoma Trento,Y85,2866
1877,Veneto,Y85,28013
1878,Friuli-Venezia Giulia,Y85,7495
1879,Emilia-Romagna,Y85,29281
1880,Toscana,Y85,24152
1881,Marche,Y85,10350
1882,Lazio,Y85,31562
1883,Abruzzo,Y85,8051
1884,Molise,Y85,2138
1885,Umbria,Y85,6038
1886,Campania,Y85,23599
1887,Puglia,Y85,21351
1888,Basilicata,Y85,3646
1889,Calabria,Y85,10496
1890,Sicilia,Y85,25747
1891,Sardegna,Y85,9221
1892,Piemonte,Y86,25441
1893,Liguria,Y86,10754
1894,Lombardia,Y86,50629
1895,Provincia Autonoma Bolzano / Bozen,Y86,2394
1896,Provincia Autonoma Trento,Y86,2602
1897,Valle d'Aosta / Vallée d'Aoste,Y86,675
1898,Trentino Alto Adige / Südtirol,Y86,4996
1899,Veneto,Y86,23917
1900,Friuli-Venezia Giulia,Y86,6786
1901,Emilia-Romagna,Y86,25567
1902,Toscana,Y86,21910
1903,Umbria,Y86,5531
1904,Marche,Y86,9321
1905,Lazio,Y86,27834
1906,Abruzzo,Y86,7676
1907,Molise,Y86,1939
1908,Campania,Y86,21981
1909,Puglia,Y86,18929
1910,Basilicata,Y86,3269
1911,Calabria,Y86,9918
1912,Sicilia,Y86,23276
1913,Sardegna,Y86,8448
1914,Piemonte,Y87,23181
1915,Valle d'Aosta / Vallée d'Aoste,Y87,572
1916,Liguria,Y87,9935
1917,Lombardia,Y87,45748
1918,Trentino Alto Adige / Südtirol,Y87,4523
1919,Provincia Autonoma Bolzano / Bozen,Y87,2133
1920,Provincia Autonoma Trento,Y87,2390
1921,Veneto,Y87,21956
1922,Friuli-Venezia Giulia,Y87,6167
1923,Emilia-Romagna,Y87,22390
1924,Toscana,Y87,19539
1925,Umbria,Y87,4716
1926,Marche,Y87,7928
1927,Lazio,Y87,24289
1928,Abruzzo,Y87,6435
1929,Molise,Y87,1650
1930,Campania,Y87,19189
1931,Puglia,Y87,16787
1932,Basilicata,Y87,2777
1933,Calabria,Y87,8623
1934,Sicilia,Y87,19702
1935,Sardegna,Y87,7299
1936,Piemonte,Y88,20849
1937,Valle d'Aosta / Vallée d'Aoste,Y88,532
1938,Liguria,Y88,8900
1939,Lombardia,Y88,40549
1940,Trentino Alto Adige / Südtirol,Y88,4036
1941,Provincia Autonoma Trento,Y88,2153
1942,Veneto,Y88,19431
1943,Friuli-Venezia Giulia,Y88,5492
1944,Molise,Y88,1478
1945,Campania,Y88,16702
1946,Puglia,Y88,14899
1947,Basilicata,Y88,2462
1948,Calabria,Y88,7531
1949,Sicilia,Y88,17468
1950,Provincia Autonoma Bolzano / Bozen,Y88,1883
1951,Emilia-Romagna,Y88,20690
1952,Toscana,Y88,18021
1953,Umbria,Y88,4550
1954,Marche,Y88,7679
1955,Lazio,Y88,21993
1956,Abruzzo,Y88,5931
1957,Sardegna,Y88,6310
1958,Basilicata,Y89,2296
1959,Calabria,Y89,6637
1960,Sicilia,Y89,16414
1961,Sardegna,Y89,5965
1962,Valle d'Aosta / Vallée d'Aoste,Y89,517
1963,Liguria,Y89,8292
1964,Piemonte,Y89,19072
1965,Lombardia,Y89,36243
1966,Trentino Alto Adige / Südtirol,Y89,3746
1967,Provincia Autonoma Bolzano / Bozen,Y89,1678
1968,Provincia Autonoma Trento,Y89,2068
1969,Veneto,Y89,17984
1970,Friuli-Venezia Giulia,Y89,5202
1971,Emilia-Romagna,Y89,18967
1972,Toscana,Y89,16595
1973,Umbria,Y89,4090
1974,Marche,Y89,6787
1975,Lazio,Y89,20224
1976,Abruzzo,Y89,5567
1977,Molise,Y89,1471
1978,Campania,Y89,14986
1979,Puglia,Y89,13606
1980,Piemonte,Y90,15213
1981,Valle d'Aosta / Vallée d'Aoste,Y90,412
1982,Liguria,Y90,6801
1983,Lombardia,Y90,29330
1984,Trentino Alto Adige / Südtirol,Y90,3001
1985,Provincia Autonoma Bolzano / Bozen,Y90,1341
1986,Provincia Autonoma Trento,Y90,1660
1987,Veneto,Y90,14176
1988,Friuli-Venezia Giulia,Y90,4159
1989,Emilia-Romagna,Y90,15279
1990,Toscana,Y90,13374
1991,Umbria,Y90,3236
1992,Marche,Y90,5386
1993,Lazio,Y90,15731
1994,Abruzzo,Y90,4339
1995,Molise,Y90,1140
1996,Campania,Y90,11719
1997,Puglia,Y90,10552
1998,Basilicata,Y90,1856
1999,Calabria,Y90,5285
2000,Sicilia,Y90,12198
2001,Sardegna,Y90,4833
2002,Piemonte,Y91,12224
2003,Valle d'Aosta / Vallée d'Aoste,Y91,342
2004,Liguria,Y91,5576
2005,Provincia Autonoma Trento,Y91,1412
2006,Toscana,Y91,11330
2007,Umbria,Y91,2734
2008,Marche,Y91,4663
2009,Lazio,Y91,12883
2010,Abruzzo,Y91,3578
2011,Molise,Y91,911
2012,Campania,Y91,9629
2013,Puglia,Y91,8831
2014,Basilicata,Y91,1470
2015,Calabria,Y91,4295
2016,Sicilia,Y91,10251
2017,Sardegna,Y91,4046
2018,Lombardia,Y91,24052
2019,Trentino Alto Adige / Südtirol,Y91,2538
2020,Provincia Autonoma Bolzano / Bozen,Y91,1126
2021,Veneto,Y91,12283
2022,Friuli-Venezia Giulia,Y91,3518
2023,Emilia-Romagna,Y91,13079
2024,Umbria,Y92,2378
2025,Marche,Y92,4051
2026,Lazio,Y92,10436
2027,Campania,Y92,7496
2028,Abruzzo,Y92,3089
2029,Molise,Y92,816
2030,Puglia,Y92,7351
2031,Basilicata,Y92,1223
2032,Calabria,Y92,3431
2033,Sicilia,Y92,7817
2034,Sardegna,Y92,3156
2035,Piemonte,Y92,10073
2036,Valle d'Aosta / Vallée d'Aoste,Y92,268
2037,Liguria,Y92,4571
2038,Lombardia,Y92,19579
2039,Trentino Alto Adige / Südtirol,Y92,2122
2040,Provincia Autonoma Bolzano / Bozen,Y92,918
2041,Provincia Autonoma Trento,Y92,1204
2042,Veneto,Y92,10319
2043,Friuli-Venezia Giulia,Y92,2977
2044,Emilia-Romagna,Y92,10885
2045,Toscana,Y92,9335
2046,Piemonte,Y93,7696
2047,Valle d'Aosta / Vallée d'Aoste,Y93,214
2048,Liguria,Y93,3586
2049,Lombardia,Y93,15293
2050,Trentino Alto Adige / Südtirol,Y93,1667
2051,Provincia Autonoma Bolzano / Bozen,Y93,732
2052,Provincia Autonoma Trento,Y93,935
2053,Veneto,Y93,7933
2054,Friuli-Venezia Giulia,Y93,2472
2055,Emilia-Romagna,Y93,8623
2056,Toscana,Y93,7381
2057,Umbria,Y93,1856
2058,Marche,Y93,3215
2059,Lazio,Y93,8429
2060,Abruzzo,Y93,2326
2061,Molise,Y93,640
2062,Campania,Y93,5754
2063,Puglia,Y93,5421
2064,Basilicata,Y93,937
2065,Calabria,Y93,2799
2066,Sicilia,Y93,6439
2067,Sardegna,Y93,2602
2068,Calabria,Y94,2126
2069,Sicilia,Y94,4838
2070,Piemonte,Y94,5813
2071,Valle d'Aosta / Vallée d'Aoste,Y94,166
2072,Liguria,Y94,2808
2073,Lombardia,Y94,11929
2074,Trentino Alto Adige / Südtirol,Y94,1347
2075,Provincia Autonoma Bolzano / Bozen,Y94,612
2076,Provincia Autonoma Trento,Y94,735
2077,Veneto,Y94,6268
2078,Friuli-Venezia Giulia,Y94,1975
2079,Emilia-Romagna,Y94,6974
2080,Toscana,Y94,5678
2081,Umbria,Y94,1510
2082,Marche,Y94,2556
2083,Sardegna,Y94,1814
2084,Lazio,Y94,6231
2085,Abruzzo,Y94,1789
2086,Molise,Y94,456
2087,Campania,Y94,4376
2088,Puglia,Y94,4103
2089,Basilicata,Y94,694
2090,Piemonte,Y95,4291
2091,Valle d'Aosta / Vallée d'Aoste,Y95,102
2092,Liguria,Y95,2100
2093,Lombardia,Y95,8983
2094,Trentino Alto Adige / Südtirol,Y95,1028
2095,Provincia Autonoma Bolzano / Bozen,Y95,449
2096,Provincia Autonoma Trento,Y95,579
2097,Veneto,Y95,4628
2098,Friuli-Venezia Giulia,Y95,1565
2099,Emilia-Romagna,Y95,5314
2100,Toscana,Y95,4419
2101,Umbria,Y95,1150
2102,Marche,Y95,1782
2103,Lazio,Y95,4874
2104,Abruzzo,Y95,1396
2105,Molise,Y95,393
2106,Campania,Y95,3194
2107,Puglia,Y95,2975
2108,Basilicata,Y95,483
2109,Calabria,Y95,1670
2110,Sicilia,Y95,3801
2111,Sardegna,Y95,1501
2112,Piemonte,Y96,3253
2113,Valle d'Aosta / Vallée d'Aoste,Y96,89
2114,Puglia,Y96,2359
2115,Basilicata,Y96,411
2116,Calabria,Y96,1202
2117,Sicilia,Y96,2514
2118,Sardegna,Y96,1033
2119,Liguria,Y96,1564
2120,Lombardia,Y96,6634
2121,Trentino Alto Adige / Südtirol,Y96,862
2122,Provincia Autonoma Bolzano / Bozen,Y96,350
2123,Provincia Autonoma Trento,Y96,512
2124,Veneto,Y96,3617
2125,Friuli-Venezia Giulia,Y96,1187
2126,Emilia-Romagna,Y96,4012
2127,Toscana,Y96,3304
2128,Umbria,Y96,783
2129,Marche,Y96,1368
2130,Lazio,Y96,3618
2131,Abruzzo,Y96,1002
2132,Molise,Y96,269
2133,Campania,Y96,2366
2134,Piemonte,Y97,2411
2135,Valle d'Aosta / Vallée d'Aoste,Y97,63
2136,Liguria,Y97,1174
2137,Lombardia,Y97,4624
2138,Sardegna,Y97,777
2139,Trentino Alto Adige / Südtirol,Y97,633
2140,Provincia Autonoma Bolzano / Bozen,Y97,276
2141,Provincia Autonoma Trento,Y97,357
2142,Veneto,Y97,2412
2143,Friuli-Venezia Giulia,Y97,833
2144,Emilia-Romagna,Y97,2809
2145,Toscana,Y97,2292
2146,Umbria,Y97,542
2147,Marche,Y97,935
2148,Lazio,Y97,2566
2149,Abruzzo,Y97,745
2150,Molise,Y97,219
2151,Basilicata,Y97,291
2152,Campania,Y97,1670
2153,Puglia,Y97,1625
2154,Calabria,Y97,814
2155,Sicilia,Y97,1867
2156,Piemonte,Y98,1610
2157,Valle d'Aosta / Vallée d'Aoste,Y98,49
2158,Liguria,Y98,799
2159,Lombardia,Y98,3328
2160,Trentino Alto Adige / Südtirol,Y98,403
2161,Provincia Autonoma Bolzano / Bozen,Y98,167
2162,Provincia Autonoma Trento,Y98,236
2163,Veneto,Y98,1664
2164,Friuli-Venezia Giulia,Y98,682
2165,Emilia-Romagna,Y98,2008
2166,Toscana,Y98,1681
2167,Umbria,Y98,423
2168,Marche,Y98,691
2169,Lazio,Y98,1812
2170,Abruzzo,Y98,526
2171,Molise,Y98,162
2172,Campania,Y98,1149
2173,Puglia,Y98,1078
2174,Basilicata,Y98,226
2175,Calabria,Y98,567
2176,Sicilia,Y98,1199
2177,Sardegna,Y98,503
2178,Sicilia,Y99,829
2179,Sardegna,Y99,388
2180,Piemonte,Y99,1008
2181,Valle d'Aosta / Vallée d'Aoste,Y99,29
2182,Liguria,Y99,547
2183,Lombardia,Y99,2093
2184,Trentino Alto Adige / Südtirol,Y99,268
2185,Provincia Autonoma Bolzano / Bozen,Y99,103
2186,Provincia Autonoma Trento,Y99,165
2187,Veneto,Y99,1068
2188,Friuli-Venezia Giulia,Y99,426
2189,Emilia-Romagna,Y99,1289
2190,Umbria,Y99,249
2191,Marche,Y99,446
2192,Lazio,Y99,1230
2193,Abruzzo,Y99,332
2194,Toscana,Y99,1098
2195,Molise,Y99,97
2196,Campania,Y99,783
2197,Puglia,Y99,725
2198,Basilicata,Y99,107
2199,Calabria,Y99,409
2200,Trentino Alto Adige / Südtirol,Y_GE100,218
2201,Provincia Autonoma Bolzano / Bozen,Y_GE100,91
2202,Provincia Autonoma Trento,Y_GE100,127
2203,Veneto,Y_GE100,1142
2204,Emilia-Romagna,Y_GE100,1415
2205,Piemonte,Y_GE100,1096
2206,Valle d'Aosta / Vallée d'Aoste,Y_GE100,30
2207,Liguria,Y_GE100,633
2208,Lombardia,Y_GE100,2318
2209,Friuli-Venezia Giulia,Y_GE100,392
2210,Toscana,Y_GE100,1044
2211,Umbria,Y_GE100,278
2212,Marche,Y_GE100,447
2213,Lazio,Y_GE100,1417
2214,Abruzzo,Y_GE100,393
2215,Molise,Y_GE100,116
2216,Campania,Y_GE100,908
2217,Puglia,Y_GE100,882
2218,Basilicata,Y_GE100,125
2219,Calabria,Y_GE100,460
2220,Sicilia,Y_GE100,1032
2221,Sardegna,Y_GE100,458
