,Territorio,ETA1,Value
333,Lombardia,Y15,96079
334,Trentino Alto Adige / Südtirol,Y15,11529
335,Provincia Autonoma Bolzano / Bozen,Y15,5792
336,Provincia Autonoma Trento,Y15,5737
337,Veneto,Y15,47337
338,Friuli-Venezia Giulia,Y15,10580
339,Emilia-Romagna,Y15,40458
340,Toscana,Y15,33144
341,Umbria,Y15,7743
342,Marche,Y15,13700
343,Lazio,Y15,53681
344,Campania,Y15,63793
345,Puglia,Y15,40267
346,Sardegna,Y15,13266
347,Abruzzo,Y15,11594
348,Molise,Y15,2566
349,Basilicata,Y15,5246
350,Calabria,Y15,18665
351,Sicilia,Y15,50626
352,Liguria,Y16,12429
353,Abruzzo,Y16,11513
354,Molise,Y16,2603
355,Campania,Y16,64520
356,Puglia,Y16,40598
357,Basilicata,Y16,5289
358,Calabria,Y16,18700
359,Sicilia,Y16,50616
360,Piemonte,Y16,38254
361,Valle d'Aosta / Vallée d'Aoste,Y16,1182
362,Lombardia,Y16,94090
363,Trentino Alto Adige / Südtirol,Y16,11261
364,Provincia Autonoma Bolzano / Bozen,Y16,5760
365,Provincia Autonoma Trento,Y16,5501
366,Veneto,Y16,46459
367,Friuli-Venezia Giulia,Y16,10517
368,Emilia-Romagna,Y16,39494
369,Toscana,Y16,32348
370,Umbria,Y16,7656
371,Marche,Y16,13552
372,Lazio,Y16,53171
373,Sardegna,Y16,13754
374,Piemonte,Y17,37717
375,Valle d'Aosta / Vallée d'Aoste,Y17,1115
376,Liguria,Y17,12778
377,Lombardia,Y17,92846
378,Trentino Alto Adige / Südtirol,Y17,11164
379,Provincia Autonoma Bolzano / Bozen,Y17,5615
380,Provincia Autonoma Trento,Y17,5549
381,Veneto,Y17,45949
382,Friuli-Venezia Giulia,Y17,10384
383,Emilia-Romagna,Y17,39815
384,Toscana,Y17,32589
385,Umbria,Y17,7668
386,Marche,Y17,13682
387,Lazio,Y17,52271
388,Puglia,Y17,40771
389,Sardegna,Y17,13537
390,Abruzzo,Y17,11386
391,Molise,Y17,2672
392,Campania,Y17,64111
393,Basilicata,Y17,5466
394,Calabria,Y17,18573
395,Sicilia,Y17,50895
396,Veneto,Y18,45918
397,Friuli-Venezia Giulia,Y18,10586
398,Emilia-Romagna,Y18,39910
399,Toscana,Y18,32647
400,Umbria,Y18,7600
401,Marche,Y18,13658
402,Lazio,Y18,52733
403,Abruzzo,Y18,11793
404,Molise,Y18,2740
405,Campania,Y18,65819
406,Puglia,Y18,42045
407,Basilicata,Y18,5529
408,Calabria,Y18,19403
409,Sicilia,Y18,52375
410,Sardegna,Y18,13883
411,Piemonte,Y18,38009
412,Valle d'Aosta / Vallée d'Aoste,Y18,1183
413,Liguria,Y18,12942
414,Lombardia,Y18,94438
415,Trentino Alto Adige / Südtirol,Y18,11496
416,Provincia Autonoma Bolzano / Bozen,Y18,5886
417,Provincia Autonoma Trento,Y18,5610
418,Piemonte,Y19,39639
419,Valle d'Aosta / Vallée d'Aoste,Y19,1226
420,Liguria,Y19,13239
421,Lombardia,Y19,96559
422,Trentino Alto Adige / Südtirol,Y19,11772
423,Provincia Autonoma Bolzano / Bozen,Y19,6008
424,Provincia Autonoma Trento,Y19,5764
425,Veneto,Y19,47924
426,Friuli-Venezia Giulia,Y19,10944
427,Emilia-Romagna,Y19,40826
428,Toscana,Y19,33175
429,Umbria,Y19,7825
430,Marche,Y19,14274
431,Lazio,Y19,53789
432,Abruzzo,Y19,12059
433,Molise,Y19,2867
434,Campania,Y19,67244
435,Puglia,Y19,43127
436,Basilicata,Y19,5748
437,Calabria,Y19,20067
438,Sicilia,Y19,53999
439,Sardegna,Y19,14441
440,Piemonte,Y20,39254
441,Liguria,Y20,13138
442,Lombardia,Y20,95790
443,Provincia Autonoma Trento,Y20,5724
444,Valle d'Aosta / Vallée d'Aoste,Y20,1192
445,Trentino Alto Adige / Südtirol,Y20,11780
446,Provincia Autonoma Bolzano / Bozen,Y20,6056
447,Veneto,Y20,47264
448,Friuli-Venezia Giulia,Y20,10586
449,Emilia-Romagna,Y20,40128
450,Toscana,Y20,32503
451,Umbria,Y20,7818
452,Marche,Y20,14235
453,Lazio,Y20,53247
454,Abruzzo,Y20,12025
455,Molise,Y20,2965
456,Campania,Y20,67525
457,Puglia,Y20,43140
458,Basilicata,Y20,5775
459,Calabria,Y20,20051
460,Sicilia,Y20,54663
461,Sardegna,Y20,14379
462,Piemonte,Y21,40093
463,Valle d'Aosta / Vallée d'Aoste,Y21,1201
464,Liguria,Y21,13388
465,Lombardia,Y21,96608
466,Trentino Alto Adige / Südtirol,Y21,11928
467,Provincia Autonoma Bolzano / Bozen,Y21,6132
468,Provincia Autonoma Trento,Y21,5796
469,Veneto,Y21,48008
470,Friuli-Venezia Giulia,Y21,10721
471,Emilia-Romagna,Y21,40470
472,Toscana,Y21,33274
473,Umbria,Y21,7913
474,Marche,Y21,14575
475,Lazio,Y21,54323
476,Abruzzo,Y21,12419
477,Molise,Y21,3142
478,Campania,Y21,67752
479,Puglia,Y21,43153
480,Basilicata,Y21,5775
481,Calabria,Y21,20443
482,Sicilia,Y21,53718
483,Sardegna,Y21,14113
484,Piemonte,Y22,39914
485,Valle d'Aosta / Vallée d'Aoste,Y22,1132
486,Liguria,Y22,13335
